Row,Space,State,ST_ABR
6,7,Alabama,AL
5,2,Arizona,AZ
5,5,Arkansas,AR
4,1,California,CA
4,3,Colorado,CO
3,10,Connecticut,CT
5,9,Delaware,DE
4,10,District of Columbia,DC
7,9,Florida,FL
6,8,Georgia,GA
2,2,Idaho,ID
2,6,Illinois,IL
3,6,Indiana,IN
3,5,Iowa,IA
5,4,Kansas,KS
4,6,Kentucky,KY
6,5,Louisiana,LA
0,11,Maine,ME
4,9,Maryland,MD
2,11,Massachusetts,MA
2,8,Michigan,MI
2,5,Minnesota,MN
6,6,Mississippi,MS
4,5,Missouri,MO
2,3,Montana,MT
4,4,Nebraska,NE
3,2,Nevada,NV
1,11,New Hampshire,NH
3,9,New Jersey,NJ
5,3,New Mexico,NM
2,9,New York,NY
5,7,North Carolina,NC
2,4,North Dakota,ND
3,7,Ohio,OH
6,4,Oklahoma,OK
3,1,Oregon,OR
3,8,Pennsylvania,PA
2,10,Rhode Island,RI
5,8,South Carolina,SC
3,4,South Dakota,SD
5,6,Tennessee,TN
7,4,Texas,TX
4,2,Utah,UT
1,10,Vermont,VT
4,8,Virginia,VA
2,1,Washington,WA
4,7,West Virginia,WV
2,7,Wisconsin,WI
3,3,Wyoming,WY
0,0,Alaska,AK
7,1,Hawaii,HI
